rank,smiles,prob_active,deepentxai_score,prediction,observed
45,C[C@H]1[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2CCF,0.9578,93.36,Active,Active
46,C[C@H](N)[C@@H]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9578,93.36,Active,Active
47,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@H](N)[C@H]3C)c(F)c21,0.9578,93.36,Active,Active
48,C[C@H](N)[C@H]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9578,93.36,Active,Active
49,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](N)[C@@H]3C)c(F)c21,0.9578,93.36,Active,Active
50,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CC(C)N1,0.9578,93.36,Active,Active
51,C[C@H]1[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C(C)(C)C,0.9578,93.36,Active,Active
52,CN1[C@@H]2CC[C@H]1CN(c1c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c1F)C2,0.9578,93.36,Active,Active
53,CC(C)Cn1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9578,93.36,Active,Active
54,C[C@H]1[C@H](N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(C(C)(C)C)c2c1F,0.9578,93.36,Active,Active
55,C[C@@H](N)[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9578,93.36,Active,Active
56,C[C@@H](N)[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9578,93.36,Active,Active
57,CC(=O)c1cc(-c2cnn(CCC(=O)O)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9578,93.36,Active,Active
58,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(CCN=C(N)N)CC2)c1,0.9578,93.36,Active,Active
59,Nc1c(N2CCNCC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9578,93.36,Active,Active
60,CC1CN(c2c(F)c(Cl)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9578,93.36,Active,Active
61,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)CN)[C@@H](C)O)C(=O)O,0.9578,93.36,Active,Active
62,NC(=O)CCn1cc(-c2cc(Cl)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9578,93.36,Active,Active
63,C[C@@H]1CN(c2c(F)c(O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.9578,93.36,Active,Active
64,C[C@H]1[C@H](N)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,0.9578,93.36,Active,Active
65,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9578,93.36,Active,Active
66,N[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)C[C@H]1N,0.9578,93.36,Active,Active
67,CN1CCC2(CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)C2)C1,0.9578,93.36,Active,Active
68,C[C@@H]1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(O)cc1,0.9578,93.36,Active,Active
69,CC(=O)c1cc(-c2cnn(CCO)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9578,93.36,Active,Active
70,NCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9557,93.03,Active,Active
71,C[C@H]1CN(C(=O)c2cc(C3CC3)n(C)n2)Cc2onc([C@@](C)(O)C(F)(F)F)c21,0.9557,93.03,Active,Active
72,O=C(O)CCCOc1cc(-c2cccnc2)c2c(c1)C(O)(C(F)(F)F)c1ccccc1-2,0.9557,93.03,Active,Active
73,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.9557,93.03,Active,Active
74,C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2F)CCN1,0.9557,93.03,Active,Active
75,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,0.9557,93.03,Active,Active
76,CC1CN(c2cc3c(c(N)c2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,0.9557,93.03,Active,Active
77,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1c1ccc(Cl)c(Cl)c1,0.9557,93.03,Active,Active
78,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,0.9557,93.03,Active,Active
79,C[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)ccn2)Cc2cnc([C@@](C)(O)C(F)(F)F)n21,0.9557,93.03,Active,Active
80,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1,0.9557,93.03,Active,Active
81,CCn1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
82,C[C@H]1CN(C(=O)c2cc(-c3ccc(C#N)cc3)n(C3CC3)n2)Cc2cnc([C@@](C)(O)C(F)(F)F)n21,0.9557,93.03,Active,Active
83,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2OP(=O)(O)O)c(=O)[nH]1,0.9557,93.03,Active,Active
84,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC(N)C3C)c(F)c21,0.9557,93.03,Active,Active
85,C[C@H]1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,0.9557,93.03,Active,Active
86,CCn1cc(-c2cc(C(C)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
87,CNC(=O)[C@H](CC(C)C)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC1C=NC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.9557,93.03,Active,Active
88,O=C(O)Cn1cc(-c2cc(Cl)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
89,CCC1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,0.9557,93.03,Active,Active
90,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1C,0.9557,93.03,Active,Active
91,Nc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
92,Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
93,NC(=O)c1cc(-c2cnn(CCO)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9557,93.03,Active,Active
94,CC(C)(C)Cn1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
95,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](Cc4cn(C)[n+](CC(N)=O)c4)C3)[C@H](C)[C@H]12,0.9557,93.03,Active,Active
96,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](Cc4cn(C)[n+](CC(=O)O)c4)C3)[C@H](C)[C@H]12,0.9557,93.03,Active,Active
97,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](Cc4cn(C)[n+](C)c4)C3)[C@H](C)[C@H]12,0.9557,93.03,Active,Active
98,C[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2F)CCN1,0.9557,93.03,Active,Active
99,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1,0.9557,93.03,Active,Active
100,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO[P+](O)(O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CO[P+](O)(O)O)C(=O)N1CCC[C@H]1C=O,0.9557,93.03,Active,Active
