rank,smiles,prob_active,deepentxai_score,prediction,observed
45,C[C@H]1[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2CCF,0.9578,93.36,Active,Active
46,C[C@H](N)[C@@H]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9578,93.36,Active,Active
47,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@H](N)[C@H]3C)c(F)c21,0.9578,93.36,Active,Active
48,C[C@H](N)[C@H]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9578,93.36,Active,Active
49,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3C[C@@H](N)[C@@H]3C)c(F)c21,0.9578,93.36,Active,Active
50,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CC(C)N1,0.9578,93.36,Active,Active
51,C[C@H]1[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C(C)(C)C,0.9578,93.36,Active,Active
52,CN1[C@@H]2CC[C@H]1CN(c1c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c1F)C2,0.9578,93.36,Active,Active
53,CC(C)Cn1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9578,93.36,Active,Active
54,C[C@H]1[C@H](N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(C(C)(C)C)c2c1F,0.9578,93.36,Active,Active
55,C[C@@H](N)[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9578,93.36,Active,Active
56,C[C@@H](N)[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9578,93.36,Active,Active
57,CC(=O)c1cc(-c2cnn(CCC(=O)O)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9578,93.36,Active,Active
58,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCC(CCN=C(N)N)CC2)c1,0.9578,93.36,Active,Active
59,Nc1c(N2CCNCC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9578,93.36,Active,Active
60,CC1CN(c2c(F)c(Cl)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9578,93.36,Active,Active
61,CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)CN)[C@@H](C)O)C(=O)O,0.9578,93.36,Active,Active
62,NC(=O)CCn1cc(-c2cc(Cl)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9578,93.36,Active,Active
63,C[C@@H]1CN(c2c(F)c(O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,0.9578,93.36,Active,Active
64,C[C@H]1[C@H](N)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,0.9578,93.36,Active,Active
65,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9578,93.36,Active,Active
66,N[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)C[C@H]1N,0.9578,93.36,Active,Active
67,CN1CCC2(CCN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)C2)C1,0.9578,93.36,Active,Active
68,C[C@@H]1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(O)cc1,0.9578,93.36,Active,Active
69,CC(=O)c1cc(-c2cnn(CCO)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9578,93.36,Active,Active
70,NCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9557,93.03,Active,Active
71,C[C@H]1CN(C(=O)c2cc(C3CC3)n(C)n2)Cc2onc([C@@](C)(O)C(F)(F)F)c21,0.9557,93.03,Active,Active
72,O=C(O)CCCOc1cc(-c2cccnc2)c2c(c1)C(O)(C(F)(F)F)c1ccccc1-2,0.9557,93.03,Active,Active
73,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.9557,93.03,Active,Active
74,C[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2F)CCN1,0.9557,93.03,Active,Active
75,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,0.9557,93.03,Active,Active
76,CC1CN(c2cc3c(c(N)c2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,0.9557,93.03,Active,Active
77,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1c1ccc(Cl)c(Cl)c1,0.9557,93.03,Active,Active
78,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,0.9557,93.03,Active,Active
79,C[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)ccn2)Cc2cnc([C@@](C)(O)C(F)(F)F)n21,0.9557,93.03,Active,Active
80,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1,0.9557,93.03,Active,Active
81,CCn1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
82,C[C@H]1CN(C(=O)c2cc(-c3ccc(C#N)cc3)n(C3CC3)n2)Cc2cnc([C@@](C)(O)C(F)(F)F)n21,0.9557,93.03,Active,Active
83,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2OP(=O)(O)O)c(=O)[nH]1,0.9557,93.03,Active,Active
84,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC(N)C3C)c(F)c21,0.9557,93.03,Active,Active
85,C[C@H]1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,0.9557,93.03,Active,Active
86,CCn1cc(-c2cc(C(C)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
87,CNC(=O)[C@H](CC(C)C)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC1C=NC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0.9557,93.03,Active,Active
88,O=C(O)Cn1cc(-c2cc(Cl)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
89,CCC1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,0.9557,93.03,Active,Active
90,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1C,0.9557,93.03,Active,Active
91,Nc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
92,Nc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
93,NC(=O)c1cc(-c2cnn(CCO)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9557,93.03,Active,Active
94,CC(C)(C)Cn1cc(-c2cc(C(N)=O)c3c(c2)C(O)(C(F)(F)F)c2ccccc2-3)cn1,0.9557,93.03,Active,Active
95,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](Cc4cn(C)[n+](CC(N)=O)c4)C3)[C@H](C)[C@H]12,0.9557,93.03,Active,Active
96,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](Cc4cn(C)[n+](CC(=O)O)c4)C3)[C@H](C)[C@H]12,0.9557,93.03,Active,Active
97,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](Cc4cn(C)[n+](C)c4)C3)[C@H](C)[C@H]12,0.9557,93.03,Active,Active
98,C[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2F)CCN1,0.9557,93.03,Active,Active
99,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCC[C@@H]2C(=O)O)c1,0.9557,93.03,Active,Active
100,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO[P+](O)(O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CO[P+](O)(O)O)C(=O)N1CCC[C@H]1C=O,0.9557,93.03,Active,Active
101,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,0.9557,93.03,Active,Active
102,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCNCC3)c(F)cc2c1=O,0.9557,93.03,Active,Active
103,CN[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)C[C@H]1NC,0.9557,93.03,Active,Active
104,O=C(O)c1cn(C2CC2)c2c(Cl)c(N3CCNCC3)c(F)cc2c1=O,0.9557,93.03,Active,Active
105,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCC4(CCNC4)C3)c(F)cc2c1=O,0.9557,93.03,Active,Active
106,C[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C(F)(F)F)CCN1,0.9557,93.03,Active,Active
107,C[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,0.9557,93.03,Active,Active
108,C[C@H](N)[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9557,93.03,Active,Active
109,NC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)C1,0.9557,93.03,Active,Active
110,C[C@H](N)[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9557,93.03,Active,Active
111,C[C@H](N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O,0.9557,93.03,Active,Active
112,CN1[C@@H]2CC[C@H]1CN(c1c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c1Cl)C2,0.9557,93.03,Active,Active
113,NC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(O)cc2)C1,0.9557,93.03,Active,Active
114,CC(C)(N)[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9557,93.03,Active,Active
115,CC(C)(N)[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9557,93.03,Active,Active
116,C=CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9557,93.03,Active,Active
117,C[C@H]1[C@H](N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(CCF)c2c1Cl,0.9557,93.03,Active,Active
118,C[C@@H]1CN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)C[C@H](C)N1,0.9557,93.03,Active,Active
119,C[C@@H]1[C@@H](NC(=O)[C@@H](C)N)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
120,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4)c3c2F)C1,0.9557,93.03,Active,Active
121,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,0.9557,93.03,Active,Active
122,NC1C=C(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC1,0.9557,93.03,Active,Active
123,N[C@H]1CC(CO)N(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9557,93.03,Active,Active
124,COc1cc(OC)nc(-c2nc(N3CC[C@@H](NC(=O)c4[nH]c(C)c(Cl)c4Cl)[C@@H](OC)C3)sc2C(=O)O)n1,0.9557,93.03,Active,Active
125,C[C@@H]1C[C@H](N)CN1c1cc2c(cc1F)c(=O)c(C(=O)O)cn2-c1ccc(F)cc1F,0.9557,93.03,Active,Active
126,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4F)c3c2F)C1,0.9557,93.03,Active,Active
127,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCNCC3)c(F)c(Cl)c2c1=O,0.9557,93.03,Active,Active
128,Cc1cc(-c2ccc(F)cc2C#N)ncc1C(=O)N1Cc2cnc([C@@](C)(O)C(F)(F)F)n2[C@@H](C)C1,0.9557,93.03,Active,Active
129,CO[C@H]1CN(c2nc(CO)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9557,93.03,Active,Active
130,Cc1c(F)c(N2CCNCC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
131,CO[C@H]1CN(c2nc(-c3ncccn3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9557,93.03,Active,Active
132,Cc1c(N2CCN(C)CC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9557,93.03,Active,Active
133,CO[C@H]1CN(c2nc(-c3cnc(N4CCN[C@H](C)C4)cn3)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9557,93.03,Active,Inactive
134,CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9557,93.03,Active,Active
135,Cc1c(N2CCNCC2)c(F)c2c(c1N)c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
136,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1C[C@@H]2CCO[C@@H]2C1)S(=O)(=O)c1ccc(CO)cc1,0.9557,93.03,Active,Active
137,Cc1c(N2CCNCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9557,93.03,Active,Active
138,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1,0.9557,93.03,Active,Active
139,C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9557,93.03,Active,Active
140,COc1c(N2CCNCC2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,0.9557,93.03,Active,Active
141,CC1CN(c2c(F)c(O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,0.9557,93.03,Active,Active
142,COC[C@H](C)NC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O,0.9557,93.03,Active,Active
143,Cc1c(F)c(N2CCNC(C)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9557,93.03,Active,Active
144,C[C@H]1[C@H](N)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C(C)(C)C,0.9557,93.03,Active,Active
145,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCOC(CN4CCCCC4)C3)c(F)cc2c1=O,0.9429,91.06,Active,Active
146,CCNCc1cc2cc3c(cc2n1C)OCCc1c-3[nH]c(=O)c(C(=O)O)c1O,0.9429,91.06,Active,Active
147,O=C(O)c1cn(C2CC2)c2c(F)c(N3CC(N4CCCC4)C3)c(F)cc2c1=O,0.9429,91.06,Active,Active
148,CNC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O,0.9429,91.06,Active,Active
149,NC1(c2ccccc2)CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,0.9429,91.06,Active,Active
150,CO[C@H]1CN(c2nc(C(N)=O)c(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9429,91.06,Active,Active
151,Nc1c(F)c(N2CC(N)C(c3ccccc3)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9429,91.06,Active,Active
152,CS[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9429,91.06,Active,Active
153,Cc1c(N2CCNC(C)C2)c(F)c2c(c1N)c(=O)c(C(=O)O)cn2C1CC1,0.9429,91.06,Active,Active
154,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)[C@@H](C)CN1,0.9429,91.06,Active,Active
155,Cc1c(N2CCNC(C)C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9429,91.06,Active,Active
156,CNCc1ccc([C@H]2C[C@H](SC3=C(C(=O)O)N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)CN2)s1,0.9429,91.06,Active,Active
157,CCN[C@H](C)[C@@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9429,91.06,Active,Active
158,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCNCC3)c(F)c(O)c2c1=O,0.9429,91.06,Active,Active
159,Cc1c(N2CCNCC2)c(F)cc2c(=O)n(N)c(=O)n(C3CC3)c12,0.9429,91.06,Active,Active
160,CN[C@@H]1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2F)C[C@H]1NC,0.9429,91.06,Active,Active
161,O=c1[nH]sc2c1c(=O)c1cc(F)c(-c3cnc4ccccc4c3)cc1n2C1CC1,0.9429,91.06,Active,Active
162,CN(Cc1ccsc1)CC1CCN(CCc2ccc(Cl)cc2Cl)CC1,0.9429,91.06,Active,Active
163,CN(Cc1ccsc1)CC1CCN(CCc2ccc(F)c(F)c2)CC1,0.9429,91.06,Active,Active
164,Nc1c(F)c(N2CCNC(CF)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9429,91.06,Active,Active
165,CC(O)c1cc(-c2cnn(CCO)c2)cc2c1-c1ccccc1C2(O)C(F)(F)F,0.9429,91.06,Active,Active
166,Cc1c(N2CCc3ccccc3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.9429,91.06,Active,Active
167,Nc1c(F)c(N2CC(N)C(c3ccc(O)cc3)C2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9429,91.06,Active,Active
168,CCN[C@H](C)[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,0.9429,91.06,Active,Active
169,COc1c(N2CC[C@@H](C(N)c3ccccn3)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,0.9429,91.06,Active,Active
170,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(N)N)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)CCC(=O)O)C(=O)O,0.9429,91.06,Active,Active
171,Cc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1,0.9429,91.06,Active,Active
172,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(Nc5ccncn5)cc(F)c4C[C@H]3C[C@@H]12,0.9429,91.06,Active,Active
173,CN(C)c1ccc(C2CN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)CC2N)cc1,0.9429,91.06,Active,Active
174,CO[C@H]1CN(c2nc(C(=O)O)c(C(N)=O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,0.9429,91.06,Active,Active
175,O=c1[nH]sc2c1c(=O)c1cc(F)c(-c3ccc(C4CCCCN4)cc3)cc1n2C1CC1,0.9429,91.06,Active,Active
